tip_name,genus,ncbi_genus_id,ncbi_family_id,ncbi_family_name,superfamily,subsection,infraorder,suborder
Chelifera_369889,Chelifera,369889,92557,Empididae,Empidoidea,NA,Muscomorpha,Brachycera
Wiedemannia_240904,Wiedemannia,240904,92557,Empididae,Empidoidea,NA,Muscomorpha,Brachycera
Clinocera_192484,Clinocera,192484,92557,Empididae,Empidoidea,NA,Muscomorpha,Brachycera
Metachela_369884,Metachela,369884,92557,Empididae,Empidoidea,NA,Muscomorpha,Brachycera
Ocnaea_210271,Ocnaea,210271,92616,Acroceridae,Nemestrinoidea,NA,Muscomorpha,Brachycera
Ogcodes_188257,Ogcodes,188257,92616,Acroceridae,Nemestrinoidea,NA,Muscomorpha,Brachycera
Eulonchus_210230,Eulonchus,210230,92616,Acroceridae,Nemestrinoidea,NA,Muscomorpha,Brachycera
Acrocera_210245,Acrocera,210245,92616,Acroceridae,Nemestrinoidea,NA,Muscomorpha,Brachycera
Astomella_210239,Astomella,210239,92616,Acroceridae,Nemestrinoidea,NA,Muscomorpha,Brachycera
Exetasis_1932988,Exetasis,1932988,92616,Acroceridae,Nemestrinoidea,NA,Muscomorpha,Brachycera
Pterodontia_210267,Pterodontia,210267,92616,Acroceridae,Nemestrinoidea,NA,Muscomorpha,Brachycera
Hirmoneura_388531,Hirmoneura,388531,92615,Nemestrinidae,Nemestrinoidea,NA,Muscomorpha,Brachycera
Neorhynchocephalus_259248,Neorhynchocephalus,259248,92615,Nemestrinidae,Nemestrinoidea,NA,Muscomorpha,Brachycera
Procanace_1262322,Procanace,1262322,1262362,Canacidae,Carnoidea,NA,Muscomorpha,Brachycera
Calamoncosis_540852,Calamoncosis,540852,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Thaumatomyia_333800,Thaumatomyia,333800,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Incertella_540867,Incertella,540867,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Gaurax_540862,Gaurax,540862,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Cetema_540891,Cetema,540891,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Chlorops_540892,Chlorops,540892,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Aphanotrigonum_540849,Aphanotrigonum,540849,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Elachiptera_540858,Elachiptera,540858,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Epichlorops_540897,Epichlorops,540897,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Lipara_540870,Lipara,540870,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Cryptonevra_1616778,Cryptonevra,1616778,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Hippelates_540866,Hippelates,540866,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Tricimba_540889,Tricimba,540889,29032,Chloropidae,Carnoidea,NA,Muscomorpha,Brachycera
Cryptochetum_1262333,Cryptochetum,1262333,1262357,Cryptochetidae,Carnoidea,NA,Muscomorpha,Brachycera
Desmometopa_305587,Desmometopa,305587,305559,Milichiidae,Carnoidea,NA,Muscomorpha,Brachycera
Leptometopa_1720790,Leptometopa,1720790,305559,Milichiidae,Carnoidea,NA,Muscomorpha,Brachycera
Pholeomyia_1720804,Pholeomyia,1720804,305559,Milichiidae,Carnoidea,NA,Muscomorpha,Brachycera
Milichiella_1890919,Milichiella,1890919,305559,Milichiidae,Carnoidea,NA,Muscomorpha,Brachycera
Physocephala_198643,Physocephala,198643,115263,Conopidae,Conopoidea,NA,Muscomorpha,Brachycera
Thecophora_305546,Thecophora,305546,115263,Conopidae,Conopoidea,NA,Muscomorpha,Brachycera
Sicus_1219203,Sicus,1219203,115263,Conopidae,Conopoidea,NA,Muscomorpha,Brachycera
Zodion_768804,Zodion,768804,115263,Conopidae,Conopoidea,NA,Muscomorpha,Brachycera
Sphyracephala_139674,Sphyracephala,139674,139644,Diopsidae,Diopsoidea,NA,Muscomorpha,Brachycera
Diasemopsis_139652,Diasemopsis,139652,139644,Diopsidae,Diopsoidea,NA,Muscomorpha,Brachycera
Diopsis_139667,Diopsis,139667,139644,Diopsidae,Diopsoidea,NA,Muscomorpha,Brachycera
Psila_305548,Psila,305548,34683,Psilidae,Diopsoidea,NA,Muscomorpha,Brachycera
Chyliza_716634,Chyliza,716634,34683,Psilidae,Diopsoidea,NA,Muscomorpha,Brachycera
Loxocera_34684,Loxocera,34684,34683,Psilidae,Diopsoidea,NA,Muscomorpha,Brachycera
Tanypeza_1692486,Tanypeza,1692486,286514,Tanypezidae,Diopsoidea,NA,Muscomorpha,Brachycera
Curtonotum_1262296,Curtonotum,1262296,48989,Curtonotidae,Ephydroidea,NA,Muscomorpha,Brachycera
Leucophenga_7329,Leucophenga,7329,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Drosophila_7215,Drosophila,7215,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Zygothrica_504731,Zygothrica,504731,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Stegana_188292,Stegana,188292,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Scaptomyza_7298,Scaptomyza,7298,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Chymomyza_7292,Chymomyza,7292,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Cacoxenus_462273,Cacoxenus,462273,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Zaprionus_7296,Zaprionus,7296,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Acletoxenus_462271,Acletoxenus,462271,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Scaptodrosophila_7354,Scaptodrosophila,7354,7214,Drosophilidae,Ephydroidea,NA,Muscomorpha,Brachycera
Hydrellia_92591,Hydrellia,92591,48991,Ephydridae,Ephydroidea,NA,Muscomorpha,Brachycera
Nostima_1473719,Nostima,1473719,48991,Ephydridae,Ephydroidea,NA,Muscomorpha,Brachycera
Scatophila_1763968,Scatophila,1763968,48991,Ephydridae,Ephydroidea,NA,Muscomorpha,Brachycera
Pelina_1086796,Pelina,1086796,48991,Ephydridae,Ephydroidea,NA,Muscomorpha,Brachycera
Ephydra_504564,Ephydra,504564,48991,Ephydridae,Ephydroidea,NA,Muscomorpha,Brachycera
Scatella_305595,Scatella,305595,48991,Ephydridae,Ephydroidea,NA,Muscomorpha,Brachycera
Glossina_7393,Glossina,7393,7392,Glossinidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Ornithophila_1497392,Ornithophila,1497392,81710,Hippoboscidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Hippobosca_452745,Hippobosca,452745,81710,Hippoboscidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Crataerina_452743,Crataerina,452743,81710,Hippoboscidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Lipoptena_170902,Lipoptena,170902,81710,Hippoboscidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Olfersia_1333310,Olfersia,1333310,81710,Hippoboscidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Melophagus_452748,Melophagus,452748,81710,Hippoboscidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Icosta_402409,Icosta,402409,81710,Hippoboscidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Basilia_170889,Basilia,170889,81707,Nycteribiidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Penicillidia_81721,Penicillidia,81721,81707,Nycteribiidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Nycteribia_633884,Nycteribia,633884,81707,Nycteribiidae,Hippoboscoidea,NA,Muscomorpha,Brachycera
Celyphus_1979294,Celyphus,1979294,189957,Celyphidae,Lauxanioidea,NA,Muscomorpha,Brachycera
Spaniocelyphus_1262326,Spaniocelyphus,1262326,189957,Celyphidae,Lauxanioidea,NA,Muscomorpha,Brachycera
Leucopis_1728826,Leucopis,1728826,189958,Chamaemyiidae,Lauxanioidea,NA,Muscomorpha,Brachycera
Chamaemyia_305621,Chamaemyia,305621,189958,Chamaemyiidae,Lauxanioidea,NA,Muscomorpha,Brachycera
Parochthiphila_1262282,Parochthiphila,1262282,189958,Chamaemyiidae,Lauxanioidea,NA,Muscomorpha,Brachycera
Homoneura_1692452,Homoneura,1692452,189929,Lauxaniidae,Lauxanioidea,NA,Muscomorpha,Brachycera
Aulogastromyia_1824990,Aulogastromyia,1824990,189929,Lauxaniidae,Lauxanioidea,NA,Muscomorpha,Brachycera
Tricholauxania_192459,Tricholauxania,192459,189929,Lauxaniidae,Lauxanioidea,NA,Muscomorpha,Brachycera
Phorbia_1993534,Phorbia,1993534,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Egle_411076,Egle,411076,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Lasiomma_95464,Lasiomma,95464,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Alliopsis_1692454,Alliopsis,1692454,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Fucellia_205683,Fucellia,205683,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Pegomya_559697,Pegomya,559697,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Paregle_559693,Paregle,559693,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Chiastocheta_129251,Chiastocheta,129251,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Chirosia_392044,Chirosia,392044,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Pegohylemyia_1887308,Pegohylemyia,1887308,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Delia_30063,Delia,30063,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Hylemya_253328,Hylemya,253328,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Anthomyia_259845,Anthomyia,259845,30062,Anthomyiidae,Muscoidea,NA,Muscomorpha,Brachycera
Fannia_95468,Fannia,95468,27471,Fanniidae,Muscoidea,NA,Muscomorpha,Brachycera
Euryomma_1650677,Euryomma,1650677,27471,Fanniidae,Muscoidea,NA,Muscomorpha,Brachycera
