,name,seqname
57,Phorbia,Phorbia_1993534
58,Gymnocarena,Gymnocarena_28597
59,Atylotus,Atylotus_1310336
60,Pelina,Pelina_1086796
61,Exeretonevra,Exeretonevra_560723
62,Corynoptera,Corynoptera_1260849
63,Sciomyza,Sciomyza_320936
64,Cheilosia,Cheilosia_173981
65,Hippobosca,Hippobosca_452745
66,Anevrina,Anevrina_92526
67,Aedes,Aedes_7158
68,Glaurocara,Glaurocara_2027854
69,Winnertzia,Winnertzia_2338641
70,Sylvicola,Sylvicola_52753
71,Elephantomyia,Elephantomyia_700838
72,Scoliocentra,Scoliocentra_1823605
73,Aphroteniella,Aphroteniella_646259
74,Piceacecis,Piceacecis_2597495
75,Tipula,Tipula_41043
76,Ligyra,Ligyra_117088
77,Braula,Braula_305561
78,Hemigymnochaeta,Hemigymnochaeta_1240433
79,Xyphosia,Xyphosia_381372
80,Helcomyza,Helcomyza_169476
81,Mormotomyia,Mormotomyia_1155704
82,Ceratitis,Ceratitis_7212
83,Neoempheria,Neoempheria_608686
84,Calamoncosis,Calamoncosis_540852
85,Calycomyza,Calycomyza_414293
86,Diplonevra,Diplonevra_92534
87,Dexia,Dexia_569033
88,Chonocephalus,Chonocephalus_92528
89,Chloromyia,Chloromyia_343649
90,Bibio,Bibio_189978
91,Noeeta,Noeeta_381362
92,Sepedon,Sepedon_320954
93,Araucoderus,Araucoderus_1549737
94,Eristalis,Eristalis_198633
95,Glutops,Glutops_124309
96,Rhagoletis,Rhagoletis_28609
97,Stenomicra,Stenomicra_716630
98,Sphaeromias,Sphaeromias_1874311
99,Asphondylia,Asphondylia_153012
100,Rhamphomyia,Rhamphomyia_192612
101,Lauterborniella,Lauterborniella_288850
102,Diadocidia,Diadocidia_560721
103,Pelidnoptera,Pelidnoptera_1096074
104,Metalimnobia,Metalimnobia_700851
105,Penicillidia,Penicillidia_81721
106,Icterica,Icterica_28599
107,Jamesomyia,Jamesomyia_28601
108,Leucophenga,Leucophenga_7329
109,Coenomyia,Coenomyia_124305
110,Olbiogaster,Olbiogaster_560768
111,Clunio,Clunio_315556
112,Ctenophora,Ctenophora_516519
113,Trichomyia,Trichomyia_560271
114,Stevenia,Stevenia_670627
115,Esenbeckia,Esenbeckia_124297
116,Simulium,Simulium_7191
117,Terellia,Terellia_28615
118,Cramptonomyia,Cramptonomyia_209688
119,Laneella,Laneella_1658054
120,Chyliza,Chyliza_716634
121,Mallophora,Mallophora_270862
122,Culiseta,Culiseta_174825
123,Dasineura,Dasineura_240745
124,Brachydeutera,Brachydeutera_1990785
125,Neoalticomerus,Neoalticomerus_716622
126,Phaonia,Phaonia_253431
127,Periscelis,Periscelis_716628
128,Lonchoptera,Lonchoptera_92595
129,Dermatobia,Dermatobia_115426
130,Tricimba,Tricimba_540889
131,Nemotelus,Nemotelus_343582
132,Chironomus,Chironomus_7150
133,Eumesembrinella,Eumesembrinella_672472
134,Lipoptena,Lipoptena_170902
135,Acemya,Acemya_1677647
136,Ornithophila,Ornithophila_1497392
137,Sciara,Sciara_82677
138,Pantophthalmus,Pantophthalmus_124295
139,Paraplatypeza,Paraplatypeza_192442
140,Blaesoxipha,Blaesoxipha_128953
141,Huascaromusca,Huascaromusca_1609532
142,Austroconops,Austroconops_209696
143,Paracoenia,Paracoenia_1690382
144,Parochlus,Parochlus_315560
145,Eupeodes,Eupeodes_290403
146,Sciophila,Sciophila_1085959
147,Ateloglossa,Ateloglossa_1890907
148,Trichonta,Trichonta_397122
149,Cetema,Cetema_540891
150,Scatophila,Scatophila_1763968
151,Stratiomys,Stratiomys_219520
152,Eukiefferiella,Eukiefferiella_288843
153,Sepsis,Sepsis_137507
154,Platystoma,Platystoma_286504
155,Paraborniella,Paraborniella_903459
156,Mycetophila,Mycetophila_397146
157,Cephenemyia,Cephenemyia_170894
158,Gasterophilus,Gasterophilus_84524
159,Cistudinomyia,Cistudinomyia_2173397
160,Lasiomma,Lasiomma_95464
161,Ornidia,Ornidia_994473
162,Stenotabanus,Stenotabanus_1547430
163,Eulonchus,Eulonchus_210230
164,Hemilucilia,Hemilucilia_416848
165,Eurosta,Eurosta_28593
166,Glossina,Glossina_7393
167,Fergusonina,Fergusonina_156411
168,Phytobia,Phytobia_414304
169,Helosciomyzidae,Helosciomyzidae
170,Agromyza,Agromyza_414290
171,Cacoxenus,Cacoxenus_462273
172,Bolbodimyia,Bolbodimyia_1547386
173,Haematopota,Haematopota_124311
174,Mystacinobia,Mystacinobia_81694
175,Dactylolabis,Dactylolabis_560717
176,Scatopse,Scatopse_1520324
177,Desmometopa,Desmometopa_305587
178,Cuterebra,Cuterebra_170896
179,Blepharicera,Blepharicera_547808
180,Passeromyia,Passeromyia_1511687
181,Dictya,Dictya_1096051
182,Neossos,Neossos_2268121
183,Syrphus,Syrphus_224255
184,Scholastes,Scholastes_1902237
185,Machimus,Machimus_247604
186,Auchmeromyia,Auchmeromyia_226129
187,Archytas,Archytas_198637
188,Tanypeza,Tanypeza_1692486
189,Hydrellia,Hydrellia_92591
190,Xylophagus,Xylophagus_219493
191,Bathypogon,Bathypogon_1718388
192,Mydas,Mydas_186100
193,Vermileo,Vermileo_124333
194,Xanthogramma,Xanthogramma_414873
195,Australofannia,Australofannia_27472
196,Mycomya,Mycomya_608706
197,Exorista,Exorista_113238
198,Anastrepha,Anastrepha_28585
199,Scathophaga,Scathophaga_95462
200,Liogma,Liogma_560731
201,Epistrophe,Epistrophe_414810
202,Pamponerus,Pamponerus_1717601
203,Philornis,Philornis_253427
204,Pachylophus,Pachylophus_1990794
205,Lasioptera,Lasioptera_201413
206,Idiella,Idiella_1902146
207,Ocyptamus,Ocyptamus_369855
208,Bittacomorpha,Bittacomorpha_79307
209,Ectophasia,Ectophasia_569037
210,Chrysops,Chrysops_27458
211,Ctenostylidae,Ctenostylidae
212,Leucopis,Leucopis_1728826
213,Lasiopiophila,Lasiopiophila_1790233
214,Syritta,Syritta_34681
215,Euryomma,Euryomma_1650677
216,Promachus,Promachus_247552
217,Micropeza,Micropeza_1572561
218,Themira,Themira_292396
219,Contarinia,Contarinia_153220
220,Ptychoptera,Ptychoptera_209691
221,Procanace,Procanace_1262322
222,Dixa,Dixa_79309
223,Odinia,Odinia_414302
224,Ochthera,Ochthera_1744809
225,Hedria,Hedria_320941
226,Sphaerophoria,Sphaerophoria_226179
227,Penthetria,Penthetria_560770
228,Curtonotum,Curtonotum_1262296
229,Leptocera,Leptocera_1614654
230,Toxomerus,Toxomerus_115327
231,Trichocera,Trichocera_52759
232,Atrichopogon,Atrichopogon_209702
233,Myolepta,Myolepta_1473716
234,Mintho,Mintho_1918277
235,Psila,Psila_305548
236,Pipunculus,Pipunculus_240898
237,Hypoderma,Hypoderma_7388
238,Lasiopogon,Lasiopogon_219536
239,Cecidomyia,Cecidomyia_1543682
240,Apiocera,Apiocera_160270
241,Aphanotrigonum,Aphanotrigonum_540849
242,Pholeomyia,Pholeomyia_1720804
243,Copromyza,Copromyza_1217530
244,Dolichopus,Dolichopus_192427
245,Psychoda,Psychoda_7201
246,Atherigona,Atherigona_305597
247,Potamia,Potamia_559704
248,Kesselimyia,Kesselimyia_1445844
249,Tephritis,Tephritis_43386
250,Melophagus,Melophagus_452748
251,Ilione,Ilione_1096072
252,Mochlonyx,Mochlonyx_1577622
253,Symmerus,Symmerus_560780
254,Sobarocephala,Sobarocephala_574054
255,Phytomyza,Phytomyza_132616
256,Metachela,Metachela_369884
257,Phytomyptera,Phytomyptera_179785
258,Leptomorphus,Leptomorphus_560729
259,Euleia,Euleia_28591
260,Blera,Blera_226146
261,Hydromyza,Hydromyza_113174
262,Ogcodes,Ogcodes_188257
263,Limonia,Limonia_52743
264,Japanagromyza,Japanagromyza_414298
265,Lonchaea,Lonchaea_198649
266,Leschenaultia,Leschenaultia_179486
267,Tetanops,Tetanops_454640
268,Mesembrinella,Mesembrinella_460529
269,Compsomyiops,Compsomyiops_142897
270,Paralucilia,Paralucilia_1042205
271,Fidena,Fidena_1334907
272,Drino,Drino_179459
273,Hybomitra,Hybomitra_124690
274,Spania,Spania_1559498
275,Sitodiplosis,Sitodiplosis_263139
276,Oestrus,Oestrus_123736
277,Pericoma,Pericoma_1148481
278,Pegomya,Pegomya_559697
279,Nycteribia,Nycteribia_633884
280,Thecophora,Thecophora_305546
281,Alliopsis,Alliopsis_1692454
282,Odontoloxozus,Odontoloxozus_588320
283,Ophiomyia,Ophiomyia_341050
284,Leptometopa,Leptometopa_1720790
285,Thereva,Thereva_95078
286,Chrysogaster,Chrysogaster_224248
287,Fannia,Fannia_95468
288,Lucilia,Lucilia_7374
289,Platypeza,Platypeza_289241
290,Laphria,Laphria_50683
291,Brachypeza,Brachypeza_2326774
292,Zaprionus,Zaprionus_7296
293,Pegohylemyia,Pegohylemyia_1887308
294,Culicoides,Culicoides_41820
295,Tvetenia,Tvetenia_611398
296,Aprionus,Aprionus_1819779
297,Melanagromyza,Melanagromyza_286470
298,Gnophomyia,Gnophomyia_700845
299,Nothomicrodon,Nothomicrodon_1857748
300,Culex,Culex_7174
301,Liopiophila,Liopiophila_1603421
302,Milichiella,Milichiella_1890919
303,Sphecapatodes,Sphecapatodes_2021536
304,Wohlfahrtia,Wohlfahrtia_128961
305,Oplodontha,Oplodontha_446504
306,Melanophora,Melanophora_1606787
307,Thaumalea,Thaumalea_61068
308,Clitelloxenia,Clitelloxenia_92530
309,Celyphus,Celyphus_1979294
310,Scaptodrosophila,Scaptodrosophila_7354
311,Norellia,Norellia_113119
312,Paracantha,Paracantha_164885
313,Chalarus,Chalarus_115250
314,Mallota,Mallota_535942
315,Anthrax,Anthrax_117078
316,Phronia,Phronia_397119
317,Spaniocelyphus,Spaniocelyphus_1262326
318,Physocephala,Physocephala_198643
319,Ditomyia,Ditomyia_1520322
320,Ptiolina,Ptiolina_124325
321,Nephrocerus,Nephrocerus_115303
322,Monodiamesa,Monodiamesa_891905
323,Oreoleptis,Oreoleptis_1262318
324,Oestromyia,Oestromyia_170913
325,Epichlorops,Epichlorops_540897
326,Pentaneura,Pentaneura_891922
327,Metriocnemus,Metriocnemus_137497
328,Cryptonevra,Cryptonevra_1616778
329,Chelifera,Chelifera_369889
330,Cleonice,Cleonice_1918224
331,Pseudacteon,Pseudacteon_378799
332,Rhagio,Rhagio_124327
333,Clinocera,Clinocera_192484
334,Anticheta,Anticheta_1096047
335,Orfelia,Orfelia_270890
336,Borophaga,Borophaga_712093
337,Orthacheta,Orthacheta_113181
338,Apocephalus,Apocephalus_117252
339,Teratomyzidae,Teratomyzidae
340,Ainuyusurika,Ainuyusurika_1165747
341,Nymphomyia,Nymphomyia_560766
342,Discocerina,Discocerina_745181
343,Pseudosmittia,Pseudosmittia_611382
344,Sargus,Sargus_343647
345,Sarcophaga,Sarcophaga_7384
346,Thaumatomyia,Thaumatomyia_333800
347,Medetera,Medetera_377527
348,Temnostoma,Temnostoma_226164
349,Notiphila,Notiphila_1118049
350,Bactrocera,Bactrocera_27456
351,Eginia,Eginia_1511678
352,Phyllodromia,Phyllodromia_1209097
353,Liponeura,Liponeura_446516
354,Zygothrica,Zygothrica_504731
355,Delphinia,Delphinia_43369
356,Calliphora,Calliphora_7372
357,Macquartia,Macquartia_1918266
358,Lutzomyia,Lutzomyia_7199
359,Dasyhelea,Dasyhelea_41822
360,Forcipomyia,Forcipomyia_209700
361,Delia,Delia_30063
362,Compsobata,Compsobata_286452
363,Protocalliphora,Protocalliphora_142901
364,Calobata,Calobata_1820059
365,Zaira,Zaira_179789
366,Hammerschmidtia,Hammerschmidtia_226171
367,Odontomyia,Odontomyia_343652
368,Limnophora,Limnophora_307207
369,Androprosopa,Androprosopa_41815
370,Sphyracephala,Sphyracephala_139674
371,Scaeva,Scaeva_219538
372,Ablabesmyia,Ablabesmyia_46216
373,Eumerus,Eumerus_224220
374,Chlorops,Chlorops_540892
375,Tricyphona,Tricyphona_700863
376,Dinera,Dinera_569035
377,Lipara,Lipara_540870
378,Chiastocheta,Chiastocheta_129251
379,Plecia,Plecia_1260898
380,Oxyna,Oxyna_381365
381,Neomyia,Neomyia_305607
382,Piophila,Piophila_53709
383,Oxycera,Oxycera_860348
384,Opomyza,Opomyza_716643
385,Atherix,Atherix_124299
386,Triphleba,Triphleba_92553
387,Sturmia,Sturmia_569089
388,Exetasis,Exetasis_1932988
389,Dasiops,Dasiops_286456
390,Vibrissina,Vibrissina_179525
391,Astomella,Astomella_210239
392,Stegana,Stegana_188292
393,Callomyia,Callomyia_712098
394,Amenia,Amenia_2086281
395,Anthomyiopsis,Anthomyiopsis_1918198
396,Leucotabanus,Leucotabanus_1969939
397,Pterodontia,Pterodontia_210267
398,Scatella,Scatella_305595
399,Callicera,Callicera_228567
400,Allotrichoma,Allotrichoma_1492368
401,Paregle,Paregle_559693
402,Melinda,Melinda_170907
403,Geomyza,Geomyza_305619
404,Systoechus,Systoechus_1690390
405,Therobia,Therobia_1918313
406,Neolimnia,Neolimnia_1262312
407,Bertamyia,Bertamyia_1445832
408,Coelopa,Coelopa_169466
409,Pedicia,Pedicia_472374
410,Sarconesia,Sarconesia_670650
411,Heterocheila,Heterocheila_169481
412,Coremacera,Coremacera_1226614
413,Cerodontha,Cerodontha_127401
414,Copestylum,Copestylum_511142
415,Aphidoletes,Aphidoletes_95971
416,Pachyneura,Pachyneura_1588165
417,Phalacrocera,Phalacrocera_2203737
418,Clusia,Clusia_574057
419,Neoplasta,Neoplasta_192640
420,Elgiva,Elgiva_320938
421,Microchrysa,Microchrysa_931517
422,Ptecticus,Ptecticus_343648
423,Volucella,Volucella_226148
424,Berkshiria,Berkshiria_2061012
425,Dioctria,Dioctria_468720
426,Hirmoneura,Hirmoneura_388531
427,Chirosia,Chirosia_392044
428,Dictenidia,Dictenidia_2108369
429,Dilophus,Dilophus_52733
430,Billaea,Billaea_701468
431,Acletoxenus,Acletoxenus_462271
432,Polietes,Polietes_559702
433,Maruina,Maruina_1144738
434,Craticulina,Craticulina_2021509
435,Microdon,Microdon_115291
436,Discomyza,Discomyza_1720780
437,Stiphrosoma,Stiphrosoma_500293
438,Tricholauxania,Tricholauxania_192459
439,Quametopia,Quametopia_1603285
440,Austrothaumalea,Austrothaumalea_1085085
441,Megaselia,Megaselia_36165
442,Trupanea,Trupanea_30060
443,Cylindrotoma,Cylindrotoma_700834
444,Chrysopilus,Chrysopilus_124301
445,Palloptera,Palloptera_286498
446,Neorhynchocephalus,Neorhynchocephalus_259248
447,Epicypta,Epicypta_397117
448,Pipiza,Pipiza_221788
449,Paykullia,Paykullia_559695
450,Psacadina,Psacadina_1096078
451,Neaera,Neaera_695903
452,Helius,Helius_700865
453,Exechia,Exechia_397139
454,Eriozona,Eriozona_414724
455,Polyporivora,Polyporivora_1445854
456,Urophora,Urophora_28620
457,Peromyia,Peromyia_1914937
458,Pollenia,Pollenia_229639
459,Hylemya,Hylemya_253328
460,Lamprolonchaea,Lamprolonchaea_907706
461,Ephydra,Ephydra_504564
462,Elachiptera,Elachiptera_540858
463,Homoneura,Homoneura_1692452
464,Diopsis,Diopsis_139667
465,Cordylobia,Cordylobia_226131
466,Psectrotanypus,Psectrotanypus_903467
467,Prosena,Prosena_1918293
468,Crataerina,Crataerina_452743
469,Tricogena,Tricogena_1606792
470,Anthomyia,Anthomyia_259845
471,Oedoparena,Oedoparena_1262316
472,Nephrotoma,Nephrotoma_46210
473,Diasemopsis,Diasemopsis_139652
474,Rhinoestrus,Rhinoestrus_204922
475,Sicus,Sicus_1219203
476,Hemerodromia,Hemerodromia_626769
477,Serromyia,Serromyia_209716
478,Hesperinus,Hesperinus_1086788
479,Pteromicra,Pteromicra_1226622
480,Hermetia,Hermetia_343581
481,Axymyia,Axymyia_560715
482,Parochthiphila,Parochthiphila_1262282
483,Chrysomya,Chrysomya_45449
484,Coboldia,Coboldia_170624
485,Elomyia,Elomyia_1562792
486,Pnyxia,Pnyxia_1781626
487,Estheria,Estheria_1918238
488,Lydella,Lydella_283929
489,Nemoraea,Nemoraea_170911
490,Musca,Musca_7369
491,Mydaea,Mydaea_559689
492,Tanyptera,Tanyptera_2108371
493,Mischoderus,Mischoderus_560267
494,Chymomyza,Chymomyza_7292
495,Parasetigena,Parasetigena_380521
496,Clusiodes,Clusiodes_500306
497,Deuterophlebia,Deuterophlebia_560719
498,Ocnaea,Ocnaea_210271
499,Melangyna,Melangyna_414825
500,Egle,Egle_411076
501,Rivellia,Rivellia_28633
502,Morellia,Morellia_253340
503,Hippelates,Hippelates_540866
504,Liriomyza,Liriomyza_127403
505,Chaetopsis,Chaetopsis_240871
506,Blepharomyia,Blepharomyia_179434
507,Centrophlebomyia,Centrophlebomyia_1603419
508,Protoplasa,Protoplasa_560776
509,Silvius,Silvius_415257
510,Neoascia,Neoascia_224222
511,Wiedemannia,Wiedemannia_240904
512,Scaptomyza,Scaptomyza_7298
513,Rhaphium,Rhaphium_377528
514,Paragus,Paragus_115308
515,Antocha,Antocha_454619
516,Onesiomima,Onesiomima_2173510
517,Euxesta,Euxesta_286468
518,Drosophila,Drosophila_7215
519,Cyrtophleba,Cyrtophleba_991141
520,Dicranota,Dicranota_700836
521,Clogmia,Clogmia_85119
522,Cobboldia,Cobboldia_2583773
523,Nostima,Nostima_1473719
524,Corynoneura,Corynoneura_611344
525,Smittia,Smittia_315559
526,Telostylinus,Telostylinus_1262347
527,Verrallia,Verrallia_115333
528,Mesembrina,Mesembrina_116147
529,Aulacigaster,Aulacigaster_716608
530,Zonosemata,Zonosemata_28622
531,Brachyopa,Brachyopa_1637464
532,Bolitophila,Bolitophila_52718
533,Tetanocera,Tetanocera_320959
534,Fucellia,Fucellia_205683
535,Loxocera,Loxocera_34684
536,Przhevalskiana,Przhevalskiana_123746
537,Cordilura,Cordilura_113132
538,Incertella,Incertella_540867
539,Hebecnema,Hebecnema_559682
