,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,cohort,section
21,Clogmia,Clogmia,OTT,genus,Clogmia,100,784658,85119,OTT,784658,Clogmia,784658,Clogmia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Psychodomorpha,Psychodoidea,Psychodidae,Psychodinae,,,Clogmia_85119,Holometabola,
22,Ophiomyia,Ophiomyia,OTT,genus,Ophiomyia,100,62156,341050,OTT,62156,Ophiomyia,62156,Ophiomyia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Phytomyzinae,,,Ophiomyia_341050,Holometabola,Schizophora
23,Neorhynchocephalus,Neorhynchocephalus,OTT,genus,Neorhynchocephalus,100,77572,259248,OTT,77572,Neorhynchocephalus,77572,Neorhynchocephalus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Nemestrinoidea,Nemestrinidae,Nemestrininae,,,Neorhynchocephalus_259248,Holometabola,
24,Teratomyzidae,Teratomyzidae,OTT,family,Teratomyzidae,100,754004,286483,OTT,754004,,,Teratomyzidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,,,,,Teratomyzidae,Holometabola,Schizophora
25,Ptiolina,Ptiolina,OTT,genus,Ptiolina,100,588070,124325,OTT,588070,Ptiolina,588070,Ptiolina,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Rhagionidae,,,,Ptiolina_124325,Holometabola,
26,Diadocidia,Diadocidia,OTT,genus,Diadocidia,100,40344,560721,OTT,40344,Diadocidia,40344,Diadocidia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Diadocidiidae,,,,Diadocidia_560721,Holometabola,
27,Silba,Silba,OTT,genus,Silba,100,253197,198646,OTT,253197,Silba,253197,Silba,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Tephritoidea,Lonchaeidae,,,,Silba_198646,Holometabola,Schizophora
28,Palloptera,Palloptera,OTT,genus,Palloptera,100,179843,286498,OTT,179843,Palloptera,179843,Palloptera,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Tephritoidea,Pallopteridae,,,,Palloptera_286498,Holometabola,Schizophora
29,Melinda,Melinda,OTT,genus,Melinda,100,522402,170907,OTT,522402,Melinda,522402,Melinda,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Calliphoridae,Calliphorinae,,,Melinda_170907,Holometabola,Schizophora
30,Bittacomorpha,Bittacomorpha,OTT,genus,Bittacomorpha,100,951315,79307,OTT,951315,Bittacomorpha,951315,Bittacomorpha,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Ptychopteromorpha,,Ptychopteridae,Bittacomorphinae,,,Bittacomorpha_79307,Holometabola,
