,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,updated_genus_ncbi_id,updated_species,updated_species_ott_id,updated_species_ncbi_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,Unnamed: 0,tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers,section,cohort,species group,subgenus,species subgroup,genus
10,Drosophila melanogaster,Drosophila melanogaster,OTT,species,Drosophila melanogaster,100,505714,7227,OTT,505714,Drosophila,34907.0,7215,melanogaster,505714.0,7227,Drosophila melanogaster,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Drosophilini,,10,Drosophila_melanogaster_I3863_5211_318,,,,,Drosophila,melanogaster,I3863_5211_318,Schizophora,Holometabola,melanogaster group,Sophophora,melanogaster subgroup,
11,Mycodrosophila,Mycodrosophila,OTT,genus,Mycodrosophila,100,13684,7338,OTT,13684,Mycodrosophila,13684.0,,,,,Mycodrosophila,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Drosophilini,,11,Mycodrosophila_sp_I4190_2492_314,,,,,Mycodrosophila,,I4190_2492_314,Schizophora,Holometabola,,,,
12,Cryptochetum,Cryptochetum,OTT,genus,Cryptochetum,100,372190,1262333,OTT,372190,Cryptochetum,372190.0,,,,,Cryptochetum,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Carnoidea,Cryptochetidae,,,,12,Cryptochetum_sp_Cryptochetum_sp_cry04_GIGU01_1_5420_317,,,,,Cryptochetum,,Cryptochetum_sp_cry04_GIGU01_1_5420_317,Schizophora,Holometabola,,,,
13,Cryptochetum,Cryptochetum,OTT,genus,Cryptochetum,100,372190,1262333,OTT,372190,Cryptochetum,372190.0,,,,,Cryptochetum,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Carnoidea,Cryptochetidae,,,,13,Cryptochetum_sp_I6797_3213_307,,,,,Cryptochetum,,I6797_3213_307,Schizophora,Holometabola,,,,
14,Curtonotum,Curtonotum,OTT,genus,Curtonotum,100,507315,1262296,OTT,507315,Curtonotum,507315.0,,,,,Curtonotum,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Curtonotidae,,,,14,Curtonotum_sp_Curtonotum_sp_curtcr05_GIFF01_1_5360_307,,,,,Curtonotum,,Curtonotum_sp_curtcr05_GIFF01_1_5360_307,Schizophora,Holometabola,,,,
15,Curtonotum pantherinum,Curtonotum pantherinum,OTT,species,Curtonotum pantherinum,100,1077322,1263448,OTT,1077322,Curtonotum,507315.0,1262296,pantherinum,1077322.0,1263448,Curtonotum pantherinum,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Curtonotidae,,,,15,Curtonotum_pantherinum_cupaRG_78_67,,,,,Curtonotum,pantherinum,cupaRG_78_67,Schizophora,Holometabola,,,,
16,Cyrtona riversmoori,Cyrtona,OTT,genus,Cyrtona,54,1077321,1263449,OTT,1077321,Cyrtona,1077321.0,,,,,Cyrtona,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Curtonotidae,,,,16,Cyrtona_riversmoori_cyriRG_623_294,,,,,Cyrtona,riversmoori,cyriRG_623_294,Schizophora,Holometabola,,,,
17,Cyrtona fluctuosa,Cyrtona,OTT,genus,Cyrtona,58,1077321,1263449,OTT,1077321,Cyrtona,1077321.0,,,,,Cyrtona,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Curtonotidae,,,,17,Cyrtona_fluctuosa_cyflRG_299_213,,,,,Cyrtona,fluctuosa,cyflRG_299_213,Schizophora,Holometabola,,,,
18,Diastata repleta,Diastata repleta,OTT,species,Diastata repleta,100,4425484,,OTT,4425484,Diastata,269896.0,1262298,repleta,4425484.0,,Diastata repleta,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Diastatidae,,,,18,Diastata_repleta_DiastataBC_5449_316_012_supertranscripts,,,,,Diastata,repleta,DiastataBC_5449_316_012_supertranscripts,Schizophora,Holometabola,,,,
19,Diastata fuscula,Diastata fuscula,OTT,species,Diastata fuscula,100,269894,1262299,OTT,269894,Diastata,269896.0,1262298,fuscula,269894.0,1262299,Diastata fuscula,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Diastatidae,,,,19,Diastata_fuscula_I6799_1601_310,,,,,Diastata,fuscula,I6799_1601_310,Schizophora,Holometabola,,,,
20,Campichoeta punctatum,Campichoeta punctum,OTT,species,Campichoeta punctum,95,712225,1262281,OTT,712225,Campichoeta,793417.0,1262280,punctum,712225.0,1262281,Campichoeta punctum,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Campichoetidae,,,,20,Campichoeta_punctatum_I6795_3217_315,,,,,Campichoeta,punctatum,I6795_3217_315,Schizophora,Holometabola,,,,
21,Camilla,Camilla,OTT,genus,Camilla,100,372232,1262331,OTT,372232,Camilla,372232.0,,,,,Camilla,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Camillidae,,,,21,Camilla_sp2_I3845_1286_311,,,,,Camilla,,I3845_1286_311,Schizophora,Holometabola,,,,
22,Camilla,Camilla,OTT,genus,Camilla,100,372232,1262331,OTT,372232,Camilla,372232.0,,,,,Camilla,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Camillidae,,,,22,Camilla_sp_camspRG_319_239,,,,,Camilla,,camspRG_319_239,Schizophora,Holometabola,,,,
23,Mormotomyia hirsuta,Mormotomyia hirsuta,OTT,species,Mormotomyia hirsuta,100,323090,1155705,OTT,323090,Mormotomyia,54704.0,1155704,hirsuta,323090.0,1155705,Mormotomyia hirsuta,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Sphaeroceroidea,Mormotomyiidae,,,,23,Mormotomyia_hirsuta_I3857_1264_307,,,,,Mormotomyia,hirsuta,I3857_1264_307,Schizophora,Holometabola,,,,
24,Cirrula hiansall,Cirrula,OTT,genus,Cirrula,61,4424922,1929280,OTT,4424922,Cirrula,4424922.0,,,,,Cirrula,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,Ephydrinae,,,24,Cirrula_hiansall_Cirr_5568_312,,,,,Cirrula,hiansall,Cirr_5568_312,Schizophora,Holometabola,,,,
25,Scatella tenuicosta,Scatella tenuicosta,OTT,species,Scatella tenuicosta,100,4423825,1473685,OTT,4423825,Scatella,130266.0,305595,tenuicosta,4423825.0,1473685,Scatella tenuicosta,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,Ephydrinae,,,25,Scatella_tenuicosta_Scatella_tenuicosta_GCFE01_1_5070_305,,,,,Scatella,tenuicosta,Scatella_tenuicosta_GCFE01_1_5070_305,Schizophora,Holometabola,,,,
26,Coenia palustris,Coenia palustris,OTT,species,Coenia palustris,100,507326,1262293,OTT,507326,Coenia,269893.0,1262292,palustris,507326.0,1262293,Coenia palustris,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,Ephydrinae,,,26,Coenia_palustris_I3850_1034_310,,,,,Coenia,palustris,I3850_1034_310,Schizophora,Holometabola,,,,
27,Philygria,Philygria,OTT,genus,Philygria,100,4424674,1473725,OTT,4424674,Philygria,4424674.0,,,,,Philygria,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,Parydrinae,,,27,Philygria_sp_I4191_332_190,,,,,Philygria,,I4191_332_190,Schizophora,Holometabola,,,,
28,Athyroglossa,Athyroglossa,OTT,genus,Athyroglossa,100,4424569,1720778,OTT,4424569,Athyroglossa,4424569.0,,,,,Athyroglossa,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,Psilopinae,,,28,Athyroglossa_sp_I4186_1150_289,,,,,Athyroglossa,,I4186_1150_289,Schizophora,Holometabola,,,,
29,Risa longirostris,Risa longirostris,OTT,species,Risa longirostris,100,4425094,,OTT,4425094,Risa,4425090.0,,longirostris,4425094.0,,Risa longirostris,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,,,,30,Risa_longirostris_I4192_230_145,,,,,Risa,longirostris,I4192_230_145,Schizophora,Holometabola,,,,
30,Clanoneurum,Clanoneurum,OTT,genus,Clanoneurum,100,4425389,,OTT,4425389,Clanoneurum,4425389.0,,,,,Clanoneurum,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,Psilopinae,,,31,Clanoneurum_sp_I4188_689_257,,,,,Clanoneurum,,I4188_689_257,Schizophora,Holometabola,,,,
31,Psilopa polita,Psilopa polita,OTT,species,Psilopa polita,100,846396,1262249,OTT,846396,Psilopa,755023.0,305593,polita,846396.0,1262249,Psilopa polita,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,Discomyzinae,,,32,Psilopa_polita_I6800_493_237,,,,,Psilopa,polita,I6800_493_237,Schizophora,Holometabola,,,,
32,Sarcophaga bullata,Sarcophaga bullata,OTT,species,Sarcophaga bullata,100,334389,7385,OTT,334389,Sarcophaga,334388.0,7384,bullata,334389.0,7385,Sarcophaga bullata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Sarcophaginae,,,33,Sarcophaga_bullata_I6803_2665_316,,,,,Sarcophaga,bullata,I6803_2665_316,Schizophora,Holometabola,,Neobellieria,,
33,Cuterebra atrox,Cuterebra atrox,OTT,species,Cuterebra atrox,100,4373974,,OTT,4373974,Cuterebra,825505.0,170896,atrox,4373974.0,,Cuterebra atrox,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Oestroidea,Oestridae,Cuterebrinae,,,34,Cuterebra_atrox_I6804_2118_290,,,,,Cuterebra,atrox,I6804_2118_290,Schizophora,Holometabola,,,,
34,Exorista larvorum,Exorista arvorum,OTT,species,Exorista arvorum,97,4374382,,OTT,4374382,Exorista,637588.0,113238,arvorum,4374382.0,,Exorista arvorum,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Exoristinae,Exoristini,,35,Exorista_larvorum_I6806_1460_313,,,,,Exorista,larvorum,I6806_1460_313,Schizophora,Holometabola,,,,
35,Delia radicum,Delia radicum,OTT,species,Delia radicum,100,116718,30064,OTT,116718,Delia,116717.0,30063,radicum,116718.0,30064,Delia radicum,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,,,36,Delia_radicum_I6805_768_298,,,,,Delia,radicum,I6805_768_298,Schizophora,Holometabola,,,,
36,Azorastia mediterraneana,Azorastia mediterranea,OTT,species,Azorastia mediterranea,96,793421,1262287,OTT,793421,Azorastia,793420.0,1262286,mediterranea,793421.0,1262287,Azorastia mediterranea,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Nannodastiidae,,,,37,Azorastia_mediterraneana_azmed3RG_565_257,,,,,Azorastia,mediterraneana,azmed3RG_565_257,Schizophora,Holometabola,,,,
37,Rivellia syngenesiae,Rivellia syngenesiae,OTT,species,Rivellia syngenesiae,100,168189,1262250,OTT,168189,Rivellia,430301.0,28633,syngenesiae,168189.0,1262250,Rivellia syngenesiae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Tephritoidea,Platystomatidae,Platystomatinae,,,38,Rivellia_syngenesiae_I6807_2402_310,,,,,Rivellia,syngenesiae,I6807_2402_310,Schizophora,Holometabola,,,,
38,Ceratitis capitata,Ceratitis capitata,OTT,species,Ceratitis capitata,100,34902,7213,OTT,34902,Ceratitis,34901.0,7212,capitata,34902.0,7213,Ceratitis capitata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Tephritoidea,Tephritidae,Dacinae,Ceratitidini,,39,Ceratitis_capitata_I6808_753_296,,,,,Ceratitis,capitata,I6808_753_296,Schizophora,Holometabola,,Ceratitis subgenus Ceratitis,,
39,Carnus hemapterus,Carnus hemapterus,OTT,species,Carnus hemapterus,100,4410949,1434729,OTT,4410949,Carnus,4410948.0,1434728,hemapterus,4410949.0,1434729,Carnus hemapterus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Carnoidea,Carnidae,,,,40,Carnus_hemapterus_Carnus3_5248_313,,,,,Carnus,hemapterus,Carnus3_5248_313,Schizophora,Holometabola,,,,
40,Meoneura,Meoneura,OTT,genus,Meoneura,100,940841,716639,OTT,940841,Meoneura,940841.0,,,,,Meoneura,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Carnoidea,Carnidae,,,,41,Meoneura_sp_mecolRG_597_280,,,,,Meoneura,,mecolRG_597_280,Schizophora,Holometabola,,,,
41,Odinia conspicua,Odinia conspicua,OTT,species,Odinia conspicua,100,5033735,,OTT,5033735,Odinia,195843.0,414302,conspicua,5033735.0,,Odinia conspicua,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Odiniidae,,,,42,Odinia_conspicua_Odin_4844_308,,,,,Odinia,conspicua,Odin_4844_308,Schizophora,Holometabola,,,,
42,Chordonota,Chordonota,OTT,genus,Chordonota,100,116478,343546,OTT,116478,Chordonota,116478.0,,,,,Chordonota,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,43,Chordonota_sp_CB0436_Stratiomyidae_S,,Stratiomyidae,,,Chordonota,,CB0436,,Holometabola,,,,
43,Leucoptilum,Leucoptilum,OTT,genus,Leucoptilum,100,690770,343557,OTT,690770,Leucoptilum,690770.0,,,,,Leucoptilum,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,44,Leucoptilum_sp_CB0326_Stratiomyidae_S,,Stratiomyidae,,,Leucoptilum,,CB0326,,Holometabola,,,,
44,Ditylometopa elegans,Ditylometopa elegans,OTT,species,Ditylometopa elegans,100,439997,343688,OTT,439997,Ditylometopa,690773.0,343552,elegans,439997.0,343688,Ditylometopa elegans,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,45,Ditylometopa_elegans_Stratiomyidae_S,,Stratiomyidae,,,Ditylometopa,elegans,,,Holometabola,,,,
45,Euryneura propinqua,Euryneura propinqua,OTT,species,Euryneura propinqua,100,965698,343690,OTT,965698,Euryneura,690767.0,343554,propinqua,965698.0,343690,Euryneura propinqua,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,46,Euryneura_propinqua_Stratiomyidae_S,,Stratiomyidae,,,Euryneura,propinqua,,,Holometabola,,,,
46,Diaphorostylus nasica,Diaphorostylus nasica,OTT,species,Diaphorostylus nasica,100,439990,343685,OTT,439990,Diaphorostylus,116471.0,343549,nasica,439990.0,343685,Diaphorostylus nasica,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,47,Diaphorostylus_nasica_Stratiomyidae_S,,Stratiomyidae,,,Diaphorostylus,nasica,,,Holometabola,,,,
47,Euryneura,Euryneura,OTT,genus,Euryneura,100,690767,343554,OTT,690767,Euryneura,690767.0,,,,,Euryneura,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,48,Cf__Euryneura_sp_CB0427_Stratiomyidae_S,,Stratiomyidae,,,Cf__Euryneura,,CB0427,,Holometabola,,,,
48,Dieuryneura stigma,Dieuryneura stigma,OTT,species,Dieuryneura stigma,100,439992,343687,OTT,439992,Dieuryneura,690772.0,343551,stigma,439992.0,343687,Dieuryneura stigma,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,49,Dieuryneura_stigma_Stratiomyidae_S,,Stratiomyidae,,,Dieuryneura,stigma,,,Holometabola,,,,
49,Dysbiota parvula,Dysbiota parvula,OTT,species,Dysbiota parvula,100,439998,343689,OTT,439998,Dysbiota,690774.0,343553,parvula,439998.0,343689,Dysbiota parvula,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,50,Dysbiota_parvula_Stratiomyidae_S,,Stratiomyidae,,,Dysbiota,parvula,,,Holometabola,,,,
50,Lagenosoma,Lagenosoma,OTT,genus,Lagenosoma,100,690769,343556,OTT,690769,Lagenosoma,690769.0,,,,,Lagenosoma,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,51,Lagenosoma_sp_CB0403_Stratiomyidae_S,,Stratiomyidae,,,Lagenosoma,,CB0403,,Holometabola,,,,
51,Auloceromyia,Auloceromyia,OTT,genus,Auloceromyia,100,116479,343545,OTT,116479,Auloceromyia,116479.0,,,,,Auloceromyia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,52,Auloceromyia_sp_CB0435_Stratiomyidae_S,,Stratiomyidae,,,Auloceromyia,,CB0435,,Holometabola,,,,
52,Ampsalis terminalis,Ampsalis terminalis,OTT,species,Ampsalis terminalis,100,389480,343667,OTT,389480,Ampsalis,116480.0,343544,terminalis,389480.0,343667,Ampsalis terminalis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Clitellariinae,,,53,Ampsalis_terminalis_CB0401_Stratiomyidae_S,,Stratiomyidae,,,Ampsalis,terminalis,CB0401,,Holometabola,,,,
