tip_name,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,updated_genus_ncbi_id,updated_species,updated_species_ott_id,updated_species_ncbi_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,cohort,infraclass,superorder,order,suborder,infraorder,section,superfamily,family,subfamily,tribe,subtribe,species group,subgenus,species subgroup,notes
Medetera_sp_CG_2012_Dolichopodidae_E,Medetera,Medetera,OTT,,Medetera,100,915821,377527,OTT,915821,,915821,,,,,Medetera,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Dolichophorus_kerteszi_Dolichopodidae_E,Dolichophorus kerteszi,Dolichophorus kerteszi,OTT,species,Dolichophorus kerteszi,100,377653,1000620,OTT,377653,Dolichophorus,767450,1000619,kerteszi,377653,1000620,Dolichophorus kerteszi,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Thrypticus_smaragdinus_Dolichopodidae_E,Thrypticus smaragdinus,Thrypticus smaragdinus,OTT,species,Thrypticus smaragdinus,100,294700,1000640,OTT,294700,Thrypticus,716793,1000639,smaragdinus,294700,1000640,Thrypticus smaragdinus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Thrypticus_tarsalis_Dolichopodidae_E,Thrypticus tarsalis,Thrypticus tarsalis,OTT,species,Thrypticus tarsalis,100,294702,1000641,OTT,294702,Thrypticus,716793,1000639,tarsalis,294702,1000641,Thrypticus tarsalis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medeterinae_sp_1_SNK_2009_Dolichopodidae_E,Medeterinae,Medeterinae,OTT,subfamily,Medeterinae,100,758550,92575,OTT,758550,,,,,,,Medeterinae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,,,,,,,
Thinophilus_murphyi_Dolichopodidae_E,Thinophilus murphyi,Thinophilus murphyi,OTT,species,Thinophilus murphyi,100,704956,626645,OTT,704956,Thinophilus,704958,626642,murphyi,704956,626645,Thinophilus murphyi,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Hydrophorinae,,,,,,
Thinophilus_sp_6_SNK_2009_Dolichopodidae_E,Thinophilus,Thinophilus,OTT,,Thinophilus,100,704958,626642,OTT,704958,,704958,,,,,Thinophilus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Hydrophorinae,,,,,,
Thinophilus_sp_8_SNK_2009_Dolichopodidae_E,Thinophilus,Thinophilus,OTT,,Thinophilus,100,704958,626642,OTT,704958,,704958,,,,,Thinophilus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Hydrophorinae,,,,,,
Thinophilus_sp_2_SNK_2009_Dolichopodidae_E,Thinophilus,Thinophilus,OTT,,Thinophilus,100,704958,626642,OTT,704958,,704958,,,,,Thinophilus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Hydrophorinae,,,,,,
Thinophilus_sp_4_SNK_2009_Dolichopodidae_E,Thinophilus,Thinophilus,OTT,,Thinophilus,100,704958,626642,OTT,704958,,704958,,,,,Thinophilus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Hydrophorinae,,,,,,
Micromorphus_albipes_Dolichopodidae_E,Micromorphus albipes,Micromorphus albipes,OTT,species,Micromorphus albipes,100,716789,1000630,OTT,716789,Micromorphus,845508,1000629,albipes,716789,1000630,Micromorphus albipes,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Peloropeodinae,,,,,,
Chrysotimus_molliculus_Dolichopodidae_E,Chrysotimus molliculus,Chrysotimus molliculus,OTT,species,Chrysotimus molliculus,100,421643,1000613,OTT,421643,Chrysotimus,421665,1000611,molliculus,421643,1000613,Chrysotimus molliculus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Peloropeodinae,,,,,,
Chrysotimus_flaviventris_Dolichopodidae_E,Chrysotimus flaviventris,Chrysotimus flaviventris,OTT,species,Chrysotimus flaviventris,100,767455,1000612,OTT,767455,Chrysotimus,421665,1000611,flaviventris,767455,1000612,Chrysotimus flaviventris,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Peloropeodinae,,,,,,
