,name,seqname
351,Contarinia,Contarinia_153220
352,Aphanotrigonum,Aphanotrigonum_540849
353,Ornithophila,Ornithophila_1497392
354,Clogmia,Clogmia_85119
355,Paregle,Paregle_559693
356,Pantophthalmus,Pantophthalmus_124295
357,Leschenaultia,Leschenaultia_179486
358,Senotainia,Senotainia_179787
359,Fidena,Fidena_1334907
360,Protocalliphora,Protocalliphora_142901
361,Elachiptera,Elachiptera_540858
362,Trupanea,Trupanea_30060
363,Dermatobia,Dermatobia_115426
364,Telostylinus,Telostylinus_1262347
365,Zabrachia,Zabrachia_1891525
366,Ptiolina,Ptiolina_124325
367,Oestromyia,Oestromyia_170913
368,Lydella,Lydella_283929
369,Atherigona,Atherigona_305597
370,Sepsis,Sepsis_137507
371,Exechia,Exechia_397139
372,Piophila,Piophila_53709
373,Volucella,Volucella_226148
374,Astomella,Astomella_210239
375,Calliphora,Calliphora_7372
376,Auchmeromyia,Auchmeromyia_226129
377,Oplodontha,Oplodontha_446504
378,Zaira,Zaira_179789
379,Paralucilia,Paralucilia_1042205
380,Araucoderus,Araucoderus_1549737
381,Clitelloxenia,Clitelloxenia_92530
382,Przhevalskiana,Przhevalskiana_123746
383,Delia,Delia_30063
384,Sphaeromias,Sphaeromias_1874311
385,Aulacigaster,Aulacigaster_716608
386,Systoechus,Systoechus_1690390
387,Verrallia,Verrallia_115333
388,Dactylolabis,Dactylolabis_560717
389,Chyliza,Chyliza_716634
390,Eriozona,Eriozona_414724
391,Callicera,Callicera_228567
392,Oestrus,Oestrus_123736
393,Homoneura,Homoneura_1692452
394,Drosophila,Drosophila_7215
395,Lipara,Lipara_540870
396,Billaea,Billaea_701468
397,Serromyia,Serromyia_209716
398,Phorbia,Phorbia_1993534
399,Aprionus,Aprionus_1819779
400,Syritta,Syritta_34681
401,Chrysomya,Chrysomya_45449
402,Haematobosca,Haematobosca_559680
403,Dilophus,Dilophus_52733
404,Liogma,Liogma_560731
405,Mimegralla,Mimegralla_115300
406,Tricogena,Tricogena_1606792
407,Potamia,Potamia_559704
408,Laphria,Laphria_50683
409,Tricholauxania,Tricholauxania_192459
410,Limnophora,Limnophora_307207
411,Phytobia,Phytobia_414304
412,Anopheles,Anopheles_7164
413,Paracoenia,Paracoenia_1690382
414,Stratiomys,Stratiomys_219520
415,Dolichopus,Dolichopus_192427
416,Cyrtophleba,Cyrtophleba_991141
417,Asphondylia,Asphondylia_153012
418,Chalarus,Chalarus_115250
419,Morellia,Morellia_253340
420,Zonosemata,Zonosemata_28622
421,Melophagus,Melophagus_452748
422,Neoplasta,Neoplasta_192640
423,Chaoborus,Chaoborus_41812
424,Eurosta,Eurosta_28593
425,Sciara,Sciara_82677
426,Glutops,Glutops_124309
427,Sobarocephala,Sobarocephala_574054
428,Chiastocheta,Chiastocheta_129251
429,Therobia,Therobia_1918313
430,Cordylobia,Cordylobia_226131
431,Sarcophaga,Sarcophaga_7384
432,Sicus,Sicus_1219203
433,Sargus,Sargus_343647
434,Maruina,Maruina_1144738
435,Liriomyza,Liriomyza_127403
436,Pericoma,Pericoma_1148481
437,Icosta,Icosta_402409
438,Chymomyza,Chymomyza_7292
439,Estheria,Estheria_1918238
440,Ochthera,Ochthera_1744809
441,Orfelia,Orfelia_270890
442,Sciadocera,Sciadocera_192453
443,Stenotabanus,Stenotabanus_1547430
444,Oedoparena,Oedoparena_1262316
445,Neolimnia,Neolimnia_1262312
446,Themira,Themira_292396
447,Rhaphium,Rhaphium_377528
448,Parochthiphila,Parochthiphila_1262282
449,Paykullia,Paykullia_559695
450,Monodiamesa,Monodiamesa_891905
451,Anticheta,Anticheta_1096047
452,Graphomya,Graphomya_1072499
453,Ctenostylidae,Ctenostylidae
454,Sphyracephala,Sphyracephala_139674
455,Neoalticomerus,Neoalticomerus_716622
456,Anthrax,Anthrax_117078
457,Cylindrotoma,Cylindrotoma_700834
458,Paraborniella,Paraborniella_903459
459,Polietes,Polietes_559702
460,Corynoptera,Corynoptera_1260849
461,Delphinia,Delphinia_43369
462,Ceratitis,Ceratitis_7212
463,Sitodiplosis,Sitodiplosis_263139
464,Cephenemyia,Cephenemyia_170894
465,Protoplasa,Protoplasa_560776
466,Leucopis,Leucopis_1728826
467,Philonicus,Philonicus_247567
468,Liponeura,Liponeura_446516
469,Lonchaea,Lonchaea_198649
470,Phytomyptera,Phytomyptera_179785
471,Bolbodimyia,Bolbodimyia_1547386
472,Palloptera,Palloptera_286498
473,Phyllodromia,Phyllodromia_1209097
474,Pipunculus,Pipunculus_240898
475,Rhyncomya,Rhyncomya_670621
476,Dixa,Dixa_79309
477,Lamprolonchaea,Lamprolonchaea_907706
478,Culex,Culex_7174
479,Dasineura,Dasineura_240745
480,Spania,Spania_1559498
481,Trichomyia,Trichomyia_560271
482,Phyto,Phyto_1262320
483,Austrothaumalea,Austrothaumalea_1085085
484,Parasetigena,Parasetigena_380521
485,Ornidia,Ornidia_994473
486,Notiphila,Notiphila_1118049
487,Polyporivora,Polyporivora_1445854
488,Stevenia,Stevenia_670627
489,Apiocera,Apiocera_160270
490,Pegomya,Pegomya_559697
491,Bertamyia,Bertamyia_1445832
492,Forcipomyia,Forcipomyia_209700
493,Melinda,Melinda_170907
494,Scatella,Scatella_305595
495,Teratomyzidae,Teratomyzidae
496,Elephantomyia,Elephantomyia_700838
497,Lasiopiophila,Lasiopiophila_1790233
498,Pegohylemyia,Pegohylemyia_1887308
499,Muscina,Muscina_57892
500,Cordilura,Cordilura_113132
501,Corynoneura,Corynoneura_611344
502,Pseudoperichaeta,Pseudoperichaeta_283931
503,Phlebotomus,Phlebotomus_13203
504,Chonocephalus,Chonocephalus_92528
505,Ogcodes,Ogcodes_188257
506,Sciomyza,Sciomyza_320936
507,Merodon,Merodon_224226
508,Sciophila,Sciophila_1085959
509,Pedicia,Pedicia_472374
510,Platypeza,Platypeza_289241
511,Mycomya,Mycomya_608706
512,Deuterophlebia,Deuterophlebia_560719
513,Craticulina,Craticulina_2021509
514,Tipula,Tipula_41043
515,Smittia,Smittia_315559
516,Trichocera,Trichocera_52759
517,Peromyia,Peromyia_1914937
518,Piceacecis,Piceacecis_2597495
519,Atylotus,Atylotus_1310336
520,Noeeta,Noeeta_381362
521,Trichonta,Trichonta_397122
522,Acemya,Acemya_1677647
523,Hirmoneura,Hirmoneura_388531
524,Diplonevra,Diplonevra_92534
525,Chrysogaster,Chrysogaster_224248
526,Sarconesia,Sarconesia_670650
527,Ptychoptera,Ptychoptera_209691
528,Dictenidia,Dictenidia_2108369
529,Clinocera,Clinocera_192484
530,Celyphus,Celyphus_1979294
531,Psacadina,Psacadina_1096078
532,Prosena,Prosena_1918293
533,Androprosopa,Androprosopa_41815
534,Lipsothrix,Lipsothrix_700849
535,Xyphosia,Xyphosia_381372
536,Glaurocara,Glaurocara_2027854
537,Cerodontha,Cerodontha_127401
538,Zygothrica,Zygothrica_504731
539,Brachypeza,Brachypeza_2326774
