Unnamed: 0,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,section,cohort
78,Miltogramma,Miltogramma,OTT,genus,Miltogramma,100,751957,670602,OTT,751957,Miltogramma,751957.0,Miltogramma,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Miltogramminae,,,Miltogramma_670602,Schizophora,Holometabola
80,Thaumatomyia,Thaumatomyia,OTT,genus,Thaumatomyia,100,970919,333800,OTT,970919,Thaumatomyia,970919.0,Thaumatomyia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,Chloropinae,,,Thaumatomyia_333800,Schizophora,Holometabola
81,Mycomya,Mycomya,OTT,genus,Mycomya,100,155023,608706,OTT,155023,Mycomya,155023.0,Mycomya,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,Mycomyinae,,,Mycomya_608706,,Holometabola
82,Volucella,Volucella,OTT,genus,Volucella,100,1011656,226148,OTT,1011656,Volucella,1011656.0,Volucella,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Eristalinae,Volucellini,,Volucella_226148,Aschiza,Holometabola
83,Microchrysa,Microchrysa,OTT,genus,Microchrysa,100,97979,931517,OTT,97979,Microchrysa,97979.0,Microchrysa,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Sarginae,,,Microchrysa_931517,,Holometabola
84,Thereva,Thereva,OTT,genus,Thereva,100,350963,95078,OTT,350963,Thereva,350963.0,Thereva,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,Therevinae,,,Thereva_95078,,Holometabola
85,Metalimnobia,Metalimnobia,OTT,genus,Metalimnobia,100,853155,700851,OTT,853155,Metalimnobia,853155.0,Metalimnobia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Tipulomorpha,Tipuloidea,Limoniidae,Limoniinae,,,Metalimnobia_700851,,Holometabola
86,Elomyia,Elomyia,OTT,genus,Elomyia,100,4387145,1562792,OTT,4387145,Elomyia,4387145.0,Elomyia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Phasiinae,Phasiini,,Elomyia_1562792,Schizophora,Holometabola
87,Blondelia,Blondelia,OTT,genus,Blondelia,100,517726,179437,OTT,517726,Blondelia,517726.0,Blondelia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Exoristinae,Blondeliini,,Blondelia_179437,Schizophora,Holometabola
88,Aphidoletes,Aphidoletes,OTT,genus,Aphidoletes,100,234108,95971,OTT,234108,Aphidoletes,234108.0,Aphidoletes,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Cecidomyiidae,Cecidomyiinae,Cecidomyiini,,Aphidoletes_95971,,Holometabola
